location,rest_type,cuisines
JP Nagar,Bar,"Finger Food, North Indian, Chinese"
JP Nagar,Cafe,"Continental, Burger, Beverages, Cafe, Italian, Rolls"
Sarjapur Road,Dessert Parlor,Desserts
East Bangalore,Delivery,"Andhra, Biryani, North Indian, South Indian"
HSR,"Takeaway, Delivery","North Indian, Fast Food, Chinese"
Ulsoor,Cafe,"Cafe, Salad, Desserts, Pizza"
Basavanagudi,Quick Bites,South Indian
Brookefield,Food Court,Beverages
Old Airport Road,Quick Bites,Fast Food
Bannerghatta Road,Casual Dining,North Indian
Jayanagar,Quick Bites,"Chinese, Momos"
JP Nagar,Casual Dining,Rajasthani
Yelahanka,Quick Bites,"Kerala, South Indian, Seafood"
BTM,Quick Bites,"Fast Food, Burger, Italian, Beverages"
JP Nagar,Casual Dining,Chinese
Bellandur,Quick Bites,"Andhra, Biryani"
Domlur,Bakery,Bakery
Koramangala 6th Block,Kiosk,"Street Food, North Indian"
BTM,Quick Bites,"North Indian, Chinese"
Uttarahalli,Casual Dining,"North Indian, Chinese, Biryani, South Indian"
Jayanagar,Pub,"Chinese, Continental, Burger, Pizza"
HSR,Quick Bites,Desserts
HSR,Quick Bites,Kerala
Jayanagar,Quick Bites,"South Indian, Fast Food"
HSR,Beverage Shop,"Beverages, Juices"
Sarjapur Road,"Takeaway, Delivery","South Indian, Biryani"
Koramangala 6th Block,Casual Dining,"Italian, Pizza, Fast Food, Salad"
HSR,"Takeaway, Delivery","North Indian, Italian, Chinese"
Residency Road,Dessert Parlor,Bakery
Indiranagar,Quick Bites,Maharashtrian
Jayanagar,Casual Dining,"North Indian, Chinese"
Kumaraswamy Layout,Cafe,"Cafe, Fast Food, Chinese"
Koramangala 5th Block,Casual Dining,"Biryani, North Indian, Chinese, Hyderabadi"
Koramangala 5th Block,Casual Dining,"American, Continental, Fast Food, Steak"
HSR,Casual Dining,"North Indian, Chinese, Mughlai"
Indiranagar,Casual Dining,"Mangalorean, Seafood"
Thippasandra,"Sweet Shop, Quick Bites","Mithai, Street Food"
HSR,Quick Bites,Biryani
HSR,Casual Dining,"South Indian, North Indian"
Kaggadasapura,Quick Bites,North Indian
Koramangala 4th Block,"Casual Dining, Bar","Andhra, Biryani, North Indian, Chinese"
Marathahalli,Quick Bites,"Bengali, Seafood, Oriya, North Indian, Biryani"
Koramangala 7th Block,Dessert Parlor,Bakery
BTM,Quick Bites,"North Indian, Chinese, Rolls"
Church Street,Casual Dining,"South Indian, Kerala, Andhra, Biryani, Chettinad, Konkan, Mangalorean"
HSR,Dessert Parlor,"Desserts, Ice Cream"
Bommanahalli,Delivery,"South Indian, North Indian"
Vijay Nagar,Casual Dining,"North Indian, Chinese, Continental"
Basaveshwara Nagar,Quick Bites,Biryani
Koramangala 1st Block,Quick Bites,Biryani
Brigade Road,Quick Bites,"Fast Food, Rolls, Momos"
Nagawara,Quick Bites,"South Indian, Chinese"
JP Nagar,Quick Bites,Street Food
BTM,"Takeaway, Delivery","Biryani, North Indian, Chinese"
Koramangala 5th Block,Quick Bites,"Burger, Fast Food"
Koramangala 1st Block,Casual Dining,North Indian
Jayanagar,Quick Bites,South Indian
HSR,Quick Bites,"Biryani, Fast Food"
Magadi Road,Casual Dining,"North Indian, South Indian"
Cunningham Road,Casual Dining,"Andhra, North Indian, Chinese"
Electronic City,Quick Bites,South Indian
JP Nagar,Casual Dining,"North Indian, Chinese, Biryani, Hyderabadi"
Lavelle Road,Fine Dining,"Spanish, Italian, Mediterranean, European, Salad"
Kalyan Nagar,Quick Bites,"Biryani, Kebab"
New BEL Road,Quick Bites,Fast Food
Koramangala 1st Block,"Casual Dining, Bar","North Indian, South Indian, Chinese, Continental, Mangalorean"
BTM,Casual Dining,"Continental, Mexican, Chinese, North Indian"
Frazer Town,Dessert Parlor,"Desserts, Beverages"
HSR,Quick Bites,"North Indian, Chinese, Street Food"
BTM,"Cafe, Bakery","Cafe, Bakery"
Frazer Town,Casual Dining,North Indian
Ulsoor,Lounge,"Finger Food, Continental, Chinese"
Frazer Town,Casual Dining,North Indian
Koramangala 4th Block,"Bakery, Quick Bites","Bakery, Fast Food, Italian"
Brookefield,Quick Bites,"North Indian, Chinese"
Cunningham Road,Casual Dining,"North Indian, Continental, Finger Food"
Koramangala 6th Block,Delivery,"Fast Food, Burger, Sandwich, Pizza"
HSR,Delivery,"North Indian, Mughlai"
Malleshwaram,Sweet Shop,Mithai
Brookefield,Quick Bites,"South Indian, North Indian, Chinese"
Sanjay Nagar,Quick Bites,"North Indian, Fast Food"
Indiranagar,Quick Bites,Fast Food
Koramangala 1st Block,Cafe,Cafe
Vasanth Nagar,"Cafe, Dessert Parlor","Cafe, Desserts, Beverages"
Bannerghatta Road,Food Court,Ice Cream
Indiranagar,Casual Dining,"Asian, Thai, Chinese, BBQ, Momos"
Kalyan Nagar,Cafe,"Cafe, Fast Food, Beverages"
Bannerghatta Road,Casual Dining,"Biryani, Andhra, North Indian"
Wilson Garden,Cafe,"Cafe, Fast Food"
Koramangala 5th Block,"Casual Dining, Pub","European, Continental"
Vasanth Nagar,Quick Bites,"Street Food, North Indian"
Koramangala 4th Block,Casual Dining,"Continental, Italian, Chinese"
BTM,Beverage Shop,"Beverages, Sandwich"
BTM,Quick Bites,"Bakery, Fast Food, Beverages"
Whitefield,Beverage Shop,"Beverages, Ice Cream, Fast Food"
MG Road,Quick Bites,"Burger, Continental, Italian, Beverages"
Whitefield,Casual Dining,"North Indian, Mughlai"
Jayanagar,Casual Dining,North Indian
Bannerghatta Road,Quick Bites,"North Indian, Chinese, Momos"
Church Street,Casual Dining,"North Indian, Chinese, BBQ"
Frazer Town,Quick Bites,"Biryani, Kerala"
Marathahalli,Casual Dining,"North Indian, Bengali"
Koramangala 5th Block,Cafe,"Cafe, Continental, Beverages"
Koramangala 1st Block,Bakery,"Bakery, Desserts"
Basaveshwara Nagar,Casual Dining,"Chinese, North Indian"
Seshadripuram,Casual Dining,"Continental, Cafe, Italian, North Indian"
Domlur,Bar,"Chinese, European"
BTM,Delivery,"Chinese, North Indian, Biryani"
Commercial Street,Quick Bites,"Fast Food, Rolls"
Banaswadi,Quick Bites,"South Indian, Biryani"
Koramangala 4th Block,Casual Dining,"Chinese, Asian, Japanese"
Koramangala 6th Block,Dessert Parlor,"Desserts, Ice Cream, Beverages, Sandwich"
HSR,Quick Bites,"South Indian, Andhra"
MG Road,"Sweet Shop, Quick Bites","Mithai, Street Food"
Koramangala 5th Block,"Bar, Casual Dining","Continental, North Indian, Chinese, American"
