location,rest_type,cuisines
BTM,Beverage Shop,"Beverages, Juices"
JP Nagar,Casual Dining,"North Indian, South Indian, Chinese"
Koramangala 3rd Block,Cafe,"Cafe, Continental, Burger, Salad, Healthy Food, Italian"
Bellandur,Quick Bites,"Continental, Biryani, Italian, North Indian, Chinese"
Electronic City,Casual Dining,"North Indian, Chinese, Japanese, European, Seafood"
Koramangala 1st Block,Casual Dining,"Chinese, Thai"
JP Nagar,Bakery,"Bakery, Desserts"
New BEL Road,Delivery,Biryani
JP Nagar,Casual Dining,"Chinese, Thai, Momos"
Electronic City,Quick Bites,"Fast Food, Beverages"
HSR,Quick Bites,"Chinese, North Indian, Kerala"
Marathahalli,Quick Bites,"North Indian, Chinese, Biryani"
Basavanagudi,Dessert Parlor,"Desserts, Ice Cream"
Indiranagar,Cafe,"Cafe, Healthy Food, Momos"
BTM,Quick Bites,"Chinese, Fast Food, Asian, Beverages, Nepalese, Tibetan"
BTM,Quick Bites,"North Indian, Chinese, Kebab"
Indiranagar,"Bakery, Quick Bites","Bakery, Fast Food, Italian"
Church Street,Quick Bites,Chinese
Koramangala 1st Block,Quick Bites,North Indian
Koramangala 5th Block,Quick Bites,Arabian
Whitefield,Quick Bites,"Chinese, North Indian"
Mysore Road,"Casual Dining, Bar","North Indian, South Indian, Chinese"
Church Street,Quick Bites,Fast Food
Seshadripuram,"Cafe, Dessert Parlor","Cafe, Desserts"
Koramangala 4th Block,Casual Dining,"Continental, Steak, Chinese, Salad, Desserts, Seafood, Italian"
Whitefield,Quick Bites,"North Indian, Chinese"
Marathahalli,Bakery,"Bakery, Desserts"
Koramangala 6th Block,Casual Dining,Kashmiri
Sadashiv Nagar,Casual Dining,"Mangalorean, Seafood"
JP Nagar,Bakery,"Bakery, Desserts"
Koramangala 5th Block,Casual Dining,"Mughlai, North Indian"
MG Road,Club,Continental
Koramangala 4th Block,Casual Dining,Vietnamese
Lavelle Road,Casual Dining,"Italian, Salad"
Old Madras Road,Quick Bites,"Biryani, Mughlai, Chinese"
Bannerghatta Road,Bakery,"Bakery, Desserts"
HSR,Quick Bites,"Burger, Fast Food"
Koramangala 5th Block,Quick Bites,"South Indian, North Indian, Chinese"
Koramangala 5th Block,Lounge,"Continental, North Indian, Chinese, Modern Indian, Asian"
CV Raman Nagar,Casual Dining,"Biryani, North Indian, Chinese, Seafood"
Koramangala 5th Block,"Casual Dining, Microbrewery","Continental, Mediterranean, North Indian, Chinese, Finger Food"
Bannerghatta Road,Bakery,Bakery
Electronic City,"Takeaway, Delivery","Sandwich, Salad, North Indian, Chinese"
BTM,Dessert Parlor,"Ice Cream, Desserts"
Bellandur,Casual Dining,"North Indian, Italian, Chinese, Asian"
Church Street,"Bar, Casual Dining","Finger Food, Continental"
JP Nagar,Bar,"Finger Food, North Indian, Chinese"
Electronic City,Casual Dining,"North Indian, Chinese, Continental"
Jayanagar,Quick Bites,"South Indian, Coffee"
MG Road,Cafe,"Cafe, Continental, Italian, Burger"
BTM,Quick Bites,"North Indian, Chinese"
Kammanahalli,"Sweet Shop, Quick Bites","Mithai, Street Food"
BTM,Quick Bites,"North Indian, Chinese"
Banaswadi,Food Court,"Tibetan, Momos"
MG Road,Quick Bites,South Indian
HSR,Casual Dining,"BBQ, Chinese, Japanese, Asian"
Domlur,Quick Bites,"North Indian, Biryani, Chinese"
Frazer Town,"Takeaway, Delivery","North Indian, Chinese, Rolls"
Lavelle Road,"Casual Dining, Irani Cafee","Parsi, North Indian"
Whitefield,Sweet Shop,"Mithai, Fast Food"
City Market,Casual Dining,"South Indian, North Indian, Chinese"
Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream"
HSR,Delivery,North Indian
BTM,Casual Dining,"North Indian, Chinese, Fast Food, Rolls, Beverages"
BTM,Quick Bites,"Fast Food, Desserts, Rolls"
Koramangala 4th Block,Bakery,Bakery
Koramangala 1st Block,"Takeaway, Delivery",North Indian
Basavanagudi,Casual Dining,"North Indian, Chinese"
Wilson Garden,Quick Bites,"Pizza, Fast Food"
Sarjapur Road,Quick Bites,"North Indian, Chinese"
Whitefield,Quick Bites,"Mexican, American, Fast Food"
Sarjapur Road,Quick Bites,"Burger, Fast Food"
"Varthur Main Road, Whitefield",Casual Dining,"North Indian, Chinese, Biryani, Andhra"
Rajajinagar,"Takeaway, Delivery",Pizza
Frazer Town,Casual Dining,"Continental, Chinese, Steak"
Indiranagar,Delivery,South Indian
JP Nagar,Quick Bites,"North Indian, Chinese, Fast Food, Rolls, Juices"
Banashankari,Casual Dining,"Mangalorean, Seafood, North Indian"
Commercial Street,Sweet Shop,"Mithai, Street Food"
Residency Road,Quick Bites,Beverages
HSR,Quick Bites,"Biryani, South Indian"
BTM,Casual Dining,"Chinese, Momos"
Koramangala 5th Block,Quick Bites,"Seafood, Fast Food"
Brookefield,Bakery,"Bakery, Desserts"
Indiranagar,Casual Dining,"Seafood, Maharashtrian"
Rajajinagar,Quick Bites,"North Indian, Fast Food"
Koramangala 7th Block,Delivery,Street Food
BTM,Beverage Shop,"Fast Food, Beverages"
HSR,Quick Bites,"North Indian, Chinese"
Indiranagar,Quick Bites,"Fast Food, Rolls"
HSR,Quick Bites,North Indian
Koramangala 7th Block,"Casual Dining, Bar",Modern Indian
Koramangala 5th Block,Quick Bites,"Arabian, Sandwich, Rolls, Burger"
Sarjapur Road,"Takeaway, Delivery",North Indian
Bommanahalli,Casual Dining,"Andhra, North Indian, Chinese, Biryani, Seafood"
Kalyan Nagar,"Casual Dining, Bar","Rajasthani, Gujarati, North Indian"
Malleshwaram,Casual Dining,"Italian, Salad, Mediterranean"
Sarjapur Road,Quick Bites,South Indian
HSR,Quick Bites,South Indian
Rajajinagar,Quick Bites,"North Indian, South Indian"
JP Nagar,Casual Dining,"Chettinad, South Indian"
MG Road,"Bar, Casual Dining",Asian
JP Nagar,Casual Dining,"Continental, Chinese, North Indian, Asian, Healthy Food, Fast Food"
BTM,Dessert Parlor,"Desserts, Beverages"
Frazer Town,Quick Bites,"North Indian, Biryani, Fast Food"
HSR,Dessert Parlor,"Desserts, Ice Cream"
Bellandur,Quick Bites,"North Indian, Chinese"
Jayanagar,Quick Bites,"Chinese, Rolls, North Indian"
Jalahalli,Quick Bites,"South Indian, North Indian, Chinese"
Sankey Road,Fine Dining,"North Indian, Continental, Japanese, Chinese, South Indian"
New BEL Road,Casual Dining,"Biryani, North Indian, Kebab"
Jayanagar,Quick Bites,"Chinese, Momos"
Malleshwaram,Casual Dining,"North Indian, South Indian, Kerala"
Cunningham Road,Fine Dining,Seafood
Jayanagar,Delivery,"Desserts, Bakery"
BTM,Quick Bites,"Chinese, North Indian"
HSR,Beverage Shop,"Beverages, Juices"
Shanti Nagar,Quick Bites,"North Indian, South Indian"
Jayanagar,Quick Bites,"South Indian, Fast Food"
Koramangala 1st Block,Delivery,North Indian
Whitefield,Quick Bites,"North Indian, Fast Food, Burger, BBQ"
Marathahalli,Quick Bites,Street Food
Whitefield,Casual Dining,"Andhra, Biryani, North Indian, Chinese"
HSR,Casual Dining,"Andhra, Biryani, North Indian, Chinese"
BTM,Delivery,Healthy Food
Koramangala 6th Block,Cafe,Cafe
Whitefield,Food Court,North Indian
Malleshwaram,Casual Dining,BBQ
Ulsoor,Quick Bites,"South Indian, Chinese"
Electronic City,Bar,"North Indian, Thai, Chinese, Continental"
Koramangala 6th Block,Casual Dining,"Bengali, Mughlai"
Jeevan Bhima Nagar,Casual Dining,"North Indian, South Indian, Chinese, Biryani"
Sarjapur Road,Casual Dining,"North Indian, Biryani, Chinese"
Bellandur,Quick Bites,"Fast Food, Street Food"
Richmond Road,Quick Bites,"Biryani, Mughlai, Fast Food"
Shivajinagar,Quick Bites,"North Indian, Chinese"
Koramangala 5th Block,Casual Dining,"Andhra, North Indian, Chinese"
Wilson Garden,Bakery,"Bakery, Arabian"
BTM,Cafe,"Cafe, Italian, Mexican, Chinese"
Kaggadasapura,Quick Bites,"Fast Food, Burger"
Kumaraswamy Layout,Casual Dining,Italian
HSR,"Takeaway, Delivery","Kerala, Seafood, Biryani, Desserts"
Koramangala 5th Block,Quick Bites,"Mexican, Fast Food"
Electronic City,Quick Bites,"Bakery, Cafe, Sandwich"
Brigade Road,"Pub, Microbrewery","American, Continental"
Indiranagar,Dessert Parlor,"Ice Cream, Desserts"
Whitefield,Casual Dining,North Indian
BTM,Dessert Parlor,Desserts
Indiranagar,Dessert Parlor,"Ice Cream, Ice Cream"
Koramangala 4th Block,Pub,"Finger Food, Chinese, Italian, Burger"
Koramangala 5th Block,"Casual Dining, Bar","Asian, Chinese, Thai, Momos"
Kumaraswamy Layout,Quick Bites,"Bengali, Chinese, Sandwich"
Marathahalli,Casual Dining,"North Indian, Biryani, Chinese"
Shanti Nagar,Casual Dining,"South Indian, Chinese"
Indiranagar,"Bakery, Cafe","Bakery, Cafe"
Banashankari,Dessert Parlor,Desserts
Koramangala 1st Block,Quick Bites,"Andhra, Chinese, North Indian"
Marathahalli,Quick Bites,"North Indian, Fast Food, Desserts, Beverages"
Brookefield,Quick Bites,"North Indian, Bihari, Rajasthani"
Koramangala 1st Block,"Bakery, Quick Bites",Bakery
Banashankari,Quick Bites,"South Indian, Chinese"
Bellandur,"Takeaway, Delivery","North Indian, South Indian"
JP Nagar,Casual Dining,"Continental, Italian, American"
Residency Road,Quick Bites,Street Food
Basavanagudi,Quick Bites,Fast Food
Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian"
Brigade Road,Quick Bites,"South Indian, North Indian, Chinese"
New BEL Road,"Dessert Parlor, Quick Bites","Desserts, Fast Food"
Frazer Town,Quick Bites,"Mughlai, North Indian, Street Food"
Bannerghatta Road,Food Court,"South Indian, North Indian"
Basavanagudi,Quick Bites,Chinese
Richmond Road,Casual Dining,"South Indian, Andhra, Chinese"
Domlur,Delivery,"Bakery, Desserts"
Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos"
Malleshwaram,"Sweet Shop, Quick Bites","Mithai, Street Food"
Indiranagar,Cafe,"Cafe, Healthy Food, Salad, Beverages"
Sarjapur Road,Quick Bites,"Arabian, Lebanese, Chinese, Rolls, North Indian"
Church Street,Quick Bites,"Biryani, Kebab"
Marathahalli,Bakery,Bakery
Indiranagar,Delivery,Pizza
BTM,Quick Bites,"Fast Food, North Indian, Rolls"
Banaswadi,Quick Bites,"North Indian, Fast Food, Street Food"
JP Nagar,Quick Bites,"Tamil, Fast Food"
Koramangala 1st Block,Quick Bites,"South Indian, Chinese"
Residency Road,Dessert Parlor,"Desserts, Beverages"
Whitefield,Mess,"Andhra, Biryani, South Indian"
Kalyan Nagar,Dessert Parlor,"Ice Cream, Desserts"
Koramangala 1st Block,Quick Bites,Kerala
Koramangala 1st Block,Cafe,"Cafe, Continental"
BTM,Quick Bites,North Indian
Jayanagar,Quick Bites,"South Indian, Chinese"
HSR,Mess,South Indian
Marathahalli,Quick Bites,"North Indian, Chinese, Biryani, Rolls"
MG Road,Fine Dining,"Chinese, Asian, Cantonese, Tea"
Church Street,"Beverage Shop, Quick Bites","Beverages, Fast Food"
HSR,Quick Bites,South Indian
Marathahalli,"Takeaway, Delivery",Lebanese
BTM,Quick Bites,North Indian
Brookefield,Quick Bites,"Kerala, South Indian, Seafood"
Bellandur,"Takeaway, Delivery","North Indian, Juices"
Frazer Town,Quick Bites,"Arabian, Rolls, North Indian, BBQ"
Bannerghatta Road,Quick Bites,"South Indian, North Indian, Chinese"
Domlur,Mess,"Andhra, Biryani, Chinese"
Malleshwaram,"Lounge, Casual Dining","Japanese, Thai, Chinese, Korean"
Marathahalli,Quick Bites,"North Indian, Chinese"
Indiranagar,Casual Dining,"North Indian, Street Food"
Seshadripuram,Casual Dining,"North Indian, Chinese, Seafood, South Indian"
Banaswadi,Quick Bites,Rolls
Bommanahalli,Quick Bites,"North Indian, Chinese"
Electronic City,Quick Bites,Arabian
Koramangala 5th Block,Quick Bites,Arabian
Cunningham Road,Casual Dining,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian"
Jayanagar,Cafe,Cafe
HSR,Quick Bites,South Indian
HSR,Quick Bites,"North Indian, Chinese, Fast Food"
Marathahalli,Delivery,North Indian
Koramangala 5th Block,Quick Bites,"Fast Food, Beverages"
Koramangala 7th Block,"Casual Dining, Bar",North Indian
Jayanagar,Quick Bites,South Indian
"Varthur Main Road, Whitefield","Takeaway, Delivery","Kerala, Seafood, South Indian, Chinese, North Indian, Charcoal Chicken, Beverages"
Rajajinagar,Dessert Parlor,"Ice Cream, Desserts"
Koramangala 5th Block,Casual Dining,Bengali
Brigade Road,Casual Dining,"North Indian, Fast Food"
Church Street,Dessert Parlor,"Desserts, Ice Cream"
JP Nagar,Casual Dining,North Indian
Whitefield,Beverage Shop,"Beverages, Ice Cream, Fast Food"
Whitefield,"Takeaway, Delivery",North Indian
Brigade Road,Casual Dining,"Pizza, Fast Food"
Koramangala 5th Block,"Cafe, Dessert Parlor","Cafe, Italian, Desserts"
Kalyan Nagar,Casual Dining,"Mediterranean, Continental, Italian, Salad"
BTM,Quick Bites,"Kerala, South Indian, Chinese"
Sarjapur Road,Quick Bites,"Salad, Fast Food"
Koramangala 4th Block,Quick Bites,"Italian, Pizza, Beverages"
Whitefield,"Takeaway, Delivery","North Indian, Mughlai, Fast Food"
BTM,Delivery,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts"
JP Nagar,Casual Dining,"Continental, Italian, Beverages"
Basavanagudi,Cafe,"Cafe, Beverages"
Brigade Road,"Beverage Shop, Dessert Parlor","Desserts, Beverages, Ice Cream"
MG Road,Cafe,Cafe
Indiranagar,Bar,"American, North Indian, Chinese"
Richmond Road,"Bakery, Quick Bites","Bakery, Fast Food"
Race Course Road,Casual Dining,"South Indian, Continental, North Indian"
Whitefield,Quick Bites,"South Indian, North Indian"
JP Nagar,Quick Bites,"North Indian, Biryani"
Electronic City,"Takeaway, Delivery",Chinese
Indiranagar,Casual Dining,"Seafood, Maharashtrian"
BTM,Cafe,"North Indian, Cafe, Fast Food, Beverages"
Banaswadi,Casual Dining,"Chinese, Continental, North Indian"
Shanti Nagar,Quick Bites,"Biryani, Kebab"
Banaswadi,Quick Bites,Biryani
Magadi Road,Quick Bites,Pizza
Indiranagar,Casual Dining,"Asian, Continental"
Bommanahalli,Casual Dining,"North Indian, Fast Food"
Rajajinagar,Quick Bites,"Biryani, Kebab"
Malleshwaram,Casual Dining,"North Indian, Sindhi, Seafood"
Sarjapur Road,Quick Bites,Biryani
MG Road,Quick Bites,South Indian
Koramangala 5th Block,"Dessert Parlor, Cafe","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages"
Bellandur,Kiosk,"Fast Food, Rolls"
Kammanahalli,"Takeaway, Delivery","Biryani, Kebab, Continental"
Koramangala 6th Block,Pub,"American, North Indian, Chinese"
Basaveshwara Nagar,"Bakery, Dessert Parlor","Bakery, Desserts"
Marathahalli,Casual Dining,North Indian
Bannerghatta Road,Food Court,Italian
Whitefield,Casual Dining,"Chinese, Thai"
Indiranagar,Dessert Parlor,"Desserts, Beverages"
JP Nagar,"Takeaway, Delivery",North Indian
BTM,Quick Bites,Arabian
Thippasandra,"Takeaway, Delivery","North Indian, Bengali, Chinese, Seafood"
CV Raman Nagar,Cafe,Cafe
Jayanagar,Casual Dining,"Italian, Mexican"
Whitefield,"Takeaway, Delivery","Bakery, Desserts"
Vasanth Nagar,Quick Bites,"South Indian, Chinese"
Koramangala 5th Block,Casual Dining,"Chinese, Indonesian, Japanese, Malaysian, Thai, Vietnamese, Momos"
Koramangala,Delivery,"Fast Food, North Indian"
Bannerghatta Road,Quick Bites,North Indian
BTM,Quick Bites,"North Indian, Biryani"
Koramangala 5th Block,Bar,"Continental, Finger Food, North Indian, Chinese"
JP Nagar,Casual Dining,"North Indian, Continental, South Indian, Chinese"
Koramangala 3rd Block,Cafe,Cafe
HSR,Quick Bites,"Biryani, North Indian"
RT Nagar,Quick Bites,"Fast Food, Desserts, Beverages"
Banashankari,Cafe,"Cafe, Fast Food, Beverages"
JP Nagar,Casual Dining,"Chinese, South Indian, North Indian"
Whitefield,Dessert Parlor,Desserts
Koramangala 8th Block,Beverage Shop,Beverages
Electronic City,Quick Bites,South Indian
Koramangala 2nd Block,Casual Dining,"Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese"
Electronic City,Casual Dining,"North Indian, Chinese, Mughlai"
Jayanagar,Casual Dining,"North Indian, Biryani, Chinese"
Koramangala 4th Block,Casual Dining,"Mughlai, North Indian, Turkish, Afghan"
Majestic,Casual Dining,"North Indian, Chinese, South Indian"
Indiranagar,Quick Bites,"South Indian, Biryani, Chinese"
JP Nagar,Casual Dining,"Asian, Continental, European"
Marathahalli,Casual Dining,"Biryani, Mughlai, Chinese, Arabian"
Kalyan Nagar,"Cafe, Bakery","Cafe, Continental, Bakery"
Marathahalli,Bakery,"Bakery, Desserts"
Banashankari,Dessert Parlor,Ice Cream
Church Street,Casual Dining,North Indian
Koramangala 6th Block,Casual Dining,"Andhra, Biryani"
Bellandur,Quick Bites,North Indian
BTM,Quick Bites,"Biryani, North Indian"
Bellandur,Casual Dining,"North Indian, South Indian, Continental"
Banaswadi,Quick Bites,"Chinese, Beverages"
Richmond Road,Quick Bites,"North Indian, Biryani"
Thippasandra,Quick Bites,"Street Food, Mithai"
Kammanahalli,Quick Bites,"Turkish, Chinese"
Jayanagar,Quick Bites,"Fast Food, North Indian"
Banashankari,Casual Dining,"Chinese, North Indian, Thai"
Ulsoor,Casual Dining,"Biryani, Kebab"
St. Marks Road,Dessert Parlor,"Desserts, Ice Cream"
JP Nagar,Casual Dining,"BBQ, Arabian, Chinese, North Indian, Desserts"
Koramangala 5th Block,Dessert Parlor,"Turkish, Desserts"
Koramangala 5th Block,Quick Bites,"Chinese, Tibetan, Momos"
Kalyan Nagar,Casual Dining,North Indian
Jayanagar,Quick Bites,"North Indian, Kebab, Fast Food"
Indiranagar,"Casual Dining, Bar","North Indian, Chinese"
HSR,Casual Dining,"South Indian, North Indian"
St. Marks Road,"Casual Dining, Bar","European, North Indian, Mediterranean, Asian, Salad"
Richmond Road,Casual Dining,"Biryani, North Indian, Chinese"
Church Street,"Casual Dining, Bar","American, Continental, Steak, Salad"
Whitefield,Quick Bites,"Fast Food, Rolls"
Brookefield,"Casual Dining, Bar",North Indian
Bannerghatta Road,Casual Dining,"North Indian, Mughlai, South Indian, Chinese"
Marathahalli,Quick Bites,"North Indian, Chinese"
Old Airport Road,"Casual Dining, Pub",Continental
Koramangala 5th Block,Quick Bites,"Street Food, Tea"
BTM,Cafe,"Cafe, Healthy Food"
Koramangala 5th Block,Casual Dining,"Chinese, Momos"
Koramangala 5th Block,Cafe,"Cafe, Continental"
Church Street,Casual Dining,North Indian
Indiranagar,"Takeaway, Delivery",North Indian
Majestic,Casual Dining,"North Indian, Chinese, Mughlai"
Frazer Town,Quick Bites,North Indian
Jayanagar,Quick Bites,"Maharashtrian, Fast Food, Street Food, Sandwich"
JP Nagar,Delivery,"Healthy Food, Beverages"
Electronic City,Dessert Parlor,Desserts
Jayanagar,Casual Dining,"Continental, Biryani, Desserts, Italian, North Indian, Chinese, Modern Indian, Asian"
Koramangala 1st Block,Casual Dining,North Indian
Electronic City,Dessert Parlor,Desserts
Nagawara,Beverage Shop,Beverages
Old Airport Road,Quick Bites,North Indian
Koramangala 6th Block,Casual Dining,"Bengali, Mughlai"
Whitefield,Quick Bites,"North Indian, Chinese, Biryani"
Brigade Road,Quick Bites,"Street Food, Rolls"
Bellandur,"Takeaway, Delivery","North Indian, Mughlai, Fast Food"
Koramangala 1st Block,"Casual Dining, Bar","North Indian, South Indian, Chinese, Continental, Mangalorean"
Bellandur,"Casual Dining, Bar","North Indian, South Indian, Andhra"
BTM,Bakery,"Bakery, Desserts"
Indiranagar,Quick Bites,South Indian
Indiranagar,Quick Bites,"North Indian, Chinese"
Marathahalli,Cafe,"Cafe, Beverages, Continental, North Indian, Chinese"
Kaggadasapura,Quick Bites,"BBQ, Beverages, Burger, Rolls, Tea"
Cunningham Road,Quick Bites,"South Indian, Biryani"
Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos"
Bannerghatta Road,Quick Bites,"South Indian, Street Food"
"ITPL Main Road, Whitefield","Bar, Casual Dining","Finger Food, North Indian, Continental"
Sankey Road,Fine Dining,"North Indian, Mughlai"
Kalyan Nagar,Casual Dining,South Indian
Yeshwantpur,"Quick Bites, Sweet Shop","North Indian, Chinese, Street Food, Mithai"
JP Nagar,"Casual Dining, Sweet Shop","South Indian, Mithai, Chinese, North Indian"
JP Nagar,"Casual Dining, Cafe","Cafe, Asian, Burger, Continental, Italian, Salad"
Indiranagar,Dessert Parlor,"Ice Cream, Desserts"
Old Airport Road,Beverage Shop,"Beverages, Juices, Fast Food"
Kammanahalli,Quick Bites,South Indian
Lavelle Road,"Fine Dining, Lounge","Japanese, Asian"
HSR,Quick Bites,"South Indian, North Indian, Chinese, Juices, Ice Cream"
Indiranagar,"Takeaway, Delivery","Chettinad, South Indian, Biryani"
Richmond Road,Sweet Shop,"Mithai, Bakery"
Infantry Road,"Cafe, Casual Dining","Cafe, Burger, Italian, Fast Food"
Electronic City,Quick Bites,"Burger, Fast Food"
Sarjapur Road,Quick Bites,"Chinese, Tibetan, Momos"
Marathahalli,"Pub, Casual Dining","Continental, North Indian, Chinese, BBQ"
Sarjapur Road,Delivery,"Bakery, Desserts"
Bellandur,Food Court,"Fast Food, Rolls"
BTM,Beverage Shop,Beverages
Marathahalli,Casual Dining,"Hyderabadi, North Indian, Chinese, Biryani"
BTM,Casual Dining,North Indian
Electronic City,Quick Bites,"Mughlai, Chinese, North Indian"
Koramangala 5th Block,Quick Bites,"Arabian, Fast Food"
Kaggadasapura,Quick Bites,"North Indian, Chinese, Continental, Biryani"
Domlur,"Dessert Parlor, Beverage Shop","Desserts, Beverages"
Jayanagar,Casual Dining,"Italian, Pizza, North Indian, Salad"
Whitefield,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food"
BTM,Casual Dining,"Biryani, Hyderabadi, Chinese"
Jeevan Bhima Nagar,Quick Bites,"North Indian, Chinese, Biryani"
BTM,Casual Dining,"North Indian, Fast Food, Chinese, Beverages"
Bellandur,Casual Dining,"Andhra, Biryani, Chinese, North Indian"
JP Nagar,Quick Bites,"Asian, BBQ, South Indian, Chinese"
Koramangala 5th Block,Quick Bites,Fast Food
Richmond Road,Casual Dining,"Chinese, Thai"
Basavanagudi,Dessert Parlor,"Desserts, Ice Cream"
Sanjay Nagar,Quick Bites,South Indian
Shanti Nagar,Casual Dining,"Mughlai, North Indian, Chinese"
Seshadripuram,Casual Dining,"North Indian, Chinese, Thai, Momos"
HBR Layout,Casual Dining,"North Indian, Chinese, South Indian, Street Food"
Malleshwaram,Food Court,"North Indian, Street Food, Kebab"
HSR,Delivery,Pizza
Banaswadi,Quick Bites,South Indian
HSR,Casual Dining,"Chinese, North Indian, Biryani"
BTM,Quick Bites,"Biryani, North Indian, Kebab"
Bellandur,Casual Dining,North Indian
Basaveshwara Nagar,Casual Dining,"North Indian, Chinese, Seafood, South Indian"
Whitefield,Casual Dining,"Chinese, North Indian"
Brigade Road,"Casual Dining, Bar",South Indian
MG Road,Fine Dining,Thai
Kaggadasapura,Bakery,"Bakery, Desserts"
Jayanagar,"Microbrewery, Casual Dining","North Indian, Continental, Finger Food, American, Asian"
Marathahalli,Dessert Parlor,Desserts
CV Raman Nagar,"Food Court, Quick Bites","Mexican, Fast Food"
Indiranagar,"Bar, Casual Dining","South Indian, Finger Food"
Electronic City,Quick Bites,"Kerala, South Indian"
Koramangala 7th Block,Quick Bites,"Mughlai, Arabian, BBQ"
Ulsoor,Casual Dining,"North Indian, Continental, South Indian"
Koramangala 5th Block,"Cafe, Bar","Cafe, Continental, Salad, Steak"
Koramangala 4th Block,Dessert Parlor,Desserts
Domlur,Casual Dining,"Seafood, Kerala"
Jeevan Bhima Nagar,Quick Bites,"Biryani, North Indian, Mangalorean, Seafood"
Rajajinagar,"Bakery, Dessert Parlor","Bakery, Fast Food"
Electronic City,Delivery,"Biryani, Chinese"
Sarjapur Road,Delivery,North Indian
Kalyan Nagar,Quick Bites,"Chinese, North Indian, South Indian"
Whitefield,Delivery,"American, Sandwich"
St. Marks Road,"Casual Dining, Bar","European, North Indian, Mediterranean, Asian, Salad"
Koramangala 5th Block,Casual Dining,"Seafood, Mangalorean, Chinese"
Ulsoor,Quick Bites,Street Food
Basavanagudi,Quick Bites,South Indian
Koramangala 5th Block,Quick Bites,Seafood
Bannerghatta Road,Dessert Parlor,Desserts
Whitefield,Quick Bites,"Chinese, Continental"
Ejipura,Quick Bites,North Indian
Marathahalli,Casual Dining,"North Indian, Mughlai, Italian"
JP Nagar,Quick Bites,"South Indian, North Indian, Chinese"
BTM,"Casual Dining, Microbrewery",North Indian
St. Marks Road,"Casual Dining, Bar","American, BBQ"
St. Marks Road,"Pub, Casual Dining","Continental, Chinese, North Indian, Finger Food"
Jayanagar,Sweet Shop,"Desserts, Mithai"
Residency Road,Casual Dining,"North Indian, Chinese, Mughlai, Seafood"
St. Marks Road,"Casual Dining, Bar","Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean"
Brigade Road,"Sweet Shop, Quick Bites","Mithai, Street Food"
Indiranagar,Dessert Parlor,"Desserts, Ice Cream"
Koramangala 6th Block,Casual Dining,"American, European"
Jayanagar,Quick Bites,"Pizza, Italian"
Rajajinagar,Quick Bites,"Biryani, Kebab"
Domlur,Delivery,"Bakery, Desserts"
Lavelle Road,"Casual Dining, Bar","European, Italian, Seafood, Continental"
Koramangala 5th Block,Lounge,"Pizza, Continental, North Indian, Asian"
Koramangala 4th Block,Casual Dining,Vietnamese
Koramangala 6th Block,Bakery,"Bakery, Fast Food"
Frazer Town,Quick Bites,"Italian, Pizza"
Koramangala 5th Block,"Takeaway, Delivery","Biryani, Kebab, Rolls"
Ejipura,Casual Dining,"Chinese, Momos"
Rajajinagar,"Takeaway, Delivery","North Indian, Mughlai, Fast Food"
Kaggadasapura,Beverage Shop,Beverages
South Bangalore,Food Truck,"Fast Food, Desserts"
"Varthur Main Road, Whitefield","Takeaway, Delivery","Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls"
Kammanahalli,Quick Bites,Biryani
Kalyan Nagar,Lounge,"Continental, Fast Food, European"
JP Nagar,Bar,"North Indian, Chinese, Pizza, BBQ"
Kalyan Nagar,Cafe,"Cafe, Continental"
Jayanagar,Dessert Parlor,"Bakery, Desserts"
Koramangala 4th Block,Quick Bites,"Healthy Food, Sandwich, Salad"
Frazer Town,Quick Bites,South Indian
Nagawara,Quick Bites,Biryani
Koramangala 8th Block,"Takeaway, Delivery","Seafood, North Indian, Chinese"
Seshadripuram,Casual Dining,"North Indian, South Indian, Chinese"
Shanti Nagar,Casual Dining,"Chinese, Tibetan, North Indian"
Basavanagudi,Quick Bites,South Indian
Electronic City,"Bakery, Quick Bites","Bakery, Fast Food, Pizza, Burger, Cafe"
Koramangala 5th Block,"Dessert Parlor, Cafe","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages"
HSR,"Bakery, Cafe","Continental, Cafe, Desserts, Italian, Bakery"
Old Madras Road,Quick Bites,Street Food
JP Nagar,Casual Dining,"North Indian, South Indian, Chinese"
Lavelle Road,Pub,"Continental, Steak"
Kalyan Nagar,Casual Dining,"Chinese, Thai, Momos, Vietnamese"
Brookefield,"Casual Dining, Bar",North Indian
Koramangala 5th Block,Quick Bites,"Mangalorean, South Indian"
Ulsoor,"Casual Dining, Cafe","Lebanese, Mediterranean, Cafe"
St. Marks Road,Quick Bites,"Biryani, Fast Food"
